temperature,k,n_items,n_error,n_correct,accuracy,auroc,ci_low,ci_high,excludes_chance,aurc,random_aurc,n_entropy_values,parse_failure_rate
0.3,3,300,159,141,0.47,0.7430973727641732,0.6929465484225842,0.7931433052984687,True,0.3086666666666667,0.53,3,0.005555555555555556
0.3,5,300,156,144,0.48,0.7595040954415955,0.7062368456405893,0.8105588743676306,True,0.3673257913828649,0.52,7,0.005333333333333333
0.3,10,300,148,152,0.5066666666666667,0.7686922119487909,0.7140375071538565,0.8190963512581061,True,0.3116654555327795,0.49333333333333335,34,0.004
0.7,3,300,163,137,0.45666666666666667,0.8053154807218664,0.7579325637368515,0.8498290884963958,True,0.17754850088183421,0.5433333333333333,3,0.04888888888888889
0.7,5,300,154,146,0.4866666666666667,0.8295676925813912,0.7835713468217635,0.874057942593336,True,0.32941761451274243,0.5133333333333333,7,0.048
0.7,10,300,150,150,0.5,0.8148444444444445,0.7657166018359104,0.8619029874118266,True,0.25492575759734526,0.5,35,0.044333333333333336
1.0,3,300,204,96,0.32,0.8777062908496732,0.8353608840349525,0.9168629569260704,True,0.08728813559322034,0.68,3,0.11777777777777777
1.0,5,300,180,120,0.4,0.8925,0.8567404545223448,0.9244654169706986,True,0.4160593126831371,0.6,7,0.12733333333333333
1.0,10,300,159,141,0.47,0.8405370444712075,0.7950052083333333,0.88215974600717,True,0.23966778197726907,0.53,31,0.11633333333333333
