truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
y=1,0.15,9,650,2000,1198765761,1939,61,0.016975308641975308,0.008519871841025272,0.07755765299794393,4.0,0.006153846153846154,0.656,False,0.02352582117835666,True
y=1,0.15,15,650,2000,3718589711,629,1371,0.0015408320493066256,0.0,0.01386748844375963,0.0,0.0,0.268,False,0.003069327533611118,True
y=1,0.2,3,650,2000,669309024,2000,0,0.2517684388035857,0.21702199218540422,0.2931623931623932,67.0,0.10307692307692308,0.78,False,0.2527472527472528,True
y=1,0.2,5,650,2000,1345874433,2000,0,0.14789637223928162,0.11218812632011521,0.19155963885768412,37.0,0.05692307692307692,0.793,False,0.14869084794619264,True
y=1,0.2,7,650,2000,1171175360,2000,0,0.0886289002172749,0.058267027349416786,0.13764296962435438,21.0,0.03230769230769231,0.697,False,0.09139529587820046,True
y=1,0.2,9,650,2000,864731531,2000,0,0.05447763680793819,0.029641185647425898,0.10465082090272525,12.0,0.018461538461538463,0.687,False,0.05724630740588228,True
y=1,0.2,15,650,2000,3043519343,1881,119,0.009259259259259259,0.0030959752321981426,0.05594135802469136,3.0,0.004615384615384616,0.671,False,0.014665750106437152,True
y=1,0.25,3,650,2000,1358558649,2000,0,0.3001635634693257,0.26751346792654174,0.3359403659114827,102.0,0.15692307692307692,0.673,False,0.30000000000000004,True
y=1,0.25,5,650,2000,3969385864,2000,0,0.20544661713291884,0.16752969456664835,0.2458196391949727,67.0,0.10307692307692308,0.702,False,0.20588235294117646,True
y=1,0.25,7,650,2000,4235224308,2000,0,0.1460144234082543,0.11057433457775845,0.18924460012595587,46.0,0.07076923076923076,0.684,False,0.14724287712581918,True
y=1,0.25,9,650,2000,1463466852,2000,0,0.10620916522891077,0.07316659957235626,0.15107433226694186,31.0,0.047692307692307694,0.683,False,0.10735184288492945,True
y=1,0.25,15,650,2000,2046760632,1999,1,0.03978988044922111,0.018677378845569442,0.08456774362641634,11.0,0.016923076923076923,0.697,False,0.04367437822221152,True
y=1,0.3,3,650,2000,855128520,2000,0,0.343446437080201,0.30928488096859663,0.3818976292387595,140.0,0.2153846153846154,0.675,False,0.34374999999999994,True
y=1,0.3,5,650,2000,3046385649,2000,0,0.2634867810252325,0.22617658991565479,0.3057655207994972,106.0,0.16307692307692306,0.677,False,0.2645478232548041,True
y=1,0.3,7,650,2000,2638396022,2000,0,0.2103143499520396,0.1723661076968529,0.2524064975536813,81.0,0.12461538461538461,0.676,False,0.21102926636345662,True
y=1,0.3,9,650,2000,2279956481,2000,0,0.1702233564306261,0.13470546662687846,0.21344124616007448,64.0,0.09846153846153846,0.69,False,0.17133814611007647,True
y=1,0.3,15,650,2000,334250151,2000,0,0.09525692139317843,0.061564408457838185,0.1409272690185995,32.0,0.04923076923076923,0.707,False,0.09632000692709164,True
y=1,0.35,3,650,2000,4159531198,2000,0,0.38469630148781103,0.35204047879491024,0.41985304148002284,183.0,0.2815384615384615,0.67,False,0.38491048593350385,True
y=1,0.35,5,650,2000,956138164,2000,0,0.32335215159416364,0.285539257429499,0.36216806791210926,152.0,0.23384615384615384,0.684,False,0.3236172096578066,True
y=1,0.35,7,650,2000,4077519521,2000,0,0.2796044588277598,0.24148911457469902,0.32333808383261425,131.0,0.20153846153846153,0.686,False,0.2799429523339781,True
y=1,0.35,9,650,2000,752717622,2000,0,0.24610721951875525,0.20525103253805552,0.2899466060216542,111.0,0.17076923076923076,0.691,False,0.24569526350956516,True
y=1,0.35,15,650,2000,493067037,2000,0,0.17455025119114537,0.13595094134678085,0.2163811911719944,73.0,0.1123076923076923,0.711,False,0.17336663659612206,True
y=1,0.4,3,650,2000,583198749,2000,0,0.42430947075074743,0.39109776841378846,0.45911650729653425,229.0,0.3523076923076923,0.672,False,0.42424242424242425,True
y=1,0.4,5,650,2000,796901272,2000,0,0.38198313848101184,0.3442121404968067,0.4210024981358218,206.0,0.3169230769230769,0.683,False,0.3826051449571253,True
y=1,0.4,7,650,2000,3089396254,2000,0,0.35284936245105114,0.31384548252605987,0.3929022762500008,188.0,0.28923076923076924,0.692,False,0.3519331459080242,True
y=1,0.4,9,650,2000,2772164114,2000,0,0.3268542235789928,0.28638217936050625,0.36826994160033055,173.0,0.26615384615384613,0.698,False,0.3270384775989152,True
